Settlement_Council,Population,Rank,City_Cluster_2019
רתמים,537.166,393,7
אשלים,567.599,524,7
מדרשת בן גוריון,"1,971.69",533,7
כמהין,188.453,573,7
טללים,542.925,624,7
ניצני סיני,285.862,822,8
יושיביה,683.142,85,3
עלומים,509.933,98,3
זרועה,467.884,214,5
תושייה,955.323,216,5
סעד,854.451,236,5
שובה,690.745,242,5
מלילות,359.829,244,5
בית הגדי,846.919,269,6
שוקדה,564.515,271,6
שיבולים,299.388,306,6
שרשרת,321.206,317,6
גבעולים,386.455,335,6
זמרת,624.223,340,6
מעגלים,"2,060.92",347,6
כפר מימון,375.477,509,7
תקומה,721.738,809,8
יצהר,"1,726.46",53,2
ברכה,"2,756.81",79,3
איתמר,"1,268.78",82,3
כפר תפוח,"1,311.98",114,4
אלון מורה,"1,920.35",127,4
שבי שומרון,976.918,159,5
מבוא דותן,447.776,182,5
אבני חפץ,"1,923.22",198,5
חיננית,"1,391.42",207,5
חרמש,223.977,247,5
ענב,891.063,248,6
רבבה,"2,631.51",264,6
ברוכין,"1,165.76",273,6
מעלה שומרון,995.685,304,6
נופים,864.364,310,6
קרית נטפים,958.314,315,6
רחלים,801.821,338,6
מגדלים,447.26,345,6
יקיר,"2,287.71",384,7
פדואל,"2,009.72",403,7
עץ אפרים,"2,427.56",443,7
עלי זהב,"3,398.92",451,7
שקד,961.809,485,7
ריחן,329.527,492,7
צופים,"2,405.81",559,7
שערי תקווה,"6,039.36",582,7
ברקן,"1,894.83",674,8
סלעית,"1,330.62",850,9
איבים,457.53,1,1
יכיני,734.061,387,7
נחל עוז,422.833,628,7
רוחמה,678.933,631,7
ניר עם,610.678,673,8
ארז,557.497,686,8
גבים,620.513,725,8
מפלסים,"1,023.58",754,8
אור הנר,768.531,763,8
דורות,843.417,777,8
כפר עזה,719.624,792,8
ברור חיל,934.926,857,9
קוממיות,559.169,11,1
אלומה,537.297,75,3
איתן,463.662,161,5
נועם,355.167,186,5
זרחיה,728.947,187,5
זבדיאל,559.479,190,5
משואות יצחק,696.745,199,5
עוזה,429.047,209,5
שלווה,503.401,211,5
רווחה,550.516,234,5
עין צורים,862.935,255,6
מרכז שפירא,"2,229.43",305,6
אבן שמואל,"1,806.75",361,6
שפיר,920.268,437,7
עין גדי,610.157,296,6
הר עמשא,198.215,422,7
נאות הכיכר,447.422,678,8
עין תמר,194.62,981,10
ערערה-בנגב,"18,331.86",2,1
תל שבע,"20,808.20",3,1
כסיפה,"21,808.74",4,1
מודיעין עילית,"76,373.22",6,1
חורה,"22,337.22",7,1
שגב-שלום,"10,936.28",8,1
לקיה,"14,074.53",9,1
ביתר עילית,"59,267.64",10,1
רהט,"71,390.12",11,1
עמנואל,"3,895.84",12,2
רכסים,"12,647.41",13,2
בני ברק,"203,228.56",14,2
ג'סר א זרקא,"14,930.19",15,2
כפר מנדא,"20,187.90",16,2
עילוט,"8,356.17",17,2
בית שמש,"124,813.02",18,2
אלעד,"48,760.38",19,2
אום אל-פחם,"56,108.84",20,2
ביר אל מכסור,"9,522.43",22,2
צפת,"36,056.47",23,2
משהד,"8,373.29",24,2
עין מאהל,"13,335.16",25,2
קרית יערים,"6,035.76",26,2
מעלה עירון,"15,065.21",27,2
יבנאל,"4,243.31",28,2
נחף,"13,112.76",29,2
שעב,"7,061.33",30,2
ירושלים,"934,638.58",31,2
כפר כנא,"22,569.36",32,2
בסמ''ה,"10,010.12",33,2
בועיינה נוג'יידאת,"9,811.83",34,2
זרזיר,"8,118.71",35,2
ביענה,"8,380.54",36,2
מסעדה,"3,713.66",37,2
בוקעתא,"6,609.69",38,3
ריינה,"18,960.88",39,3
ע'ג'ר,"2,659.40",40,3
ג'לג'וליה,"10,040.03",41,3
אכסאל,"14,675.65",42,3
טובא זנגריה,"6,775.96",43,3
כעביה טבאש חג'אג'רה,"5,504.04",44,3
קרית ארבע,"7,325.98",46,3
יפיע,"19,151.16",47,3
בסמת טבעון,"7,915.73",48,3
טמרה,"34,028.02",49,3
ג'דיידה-מכר,"21,162.58",50,3
עראבה,"25,832.85",51,3
עין קנייא,"2,097.81",52,3
פוריידיס,"13,247.05",53,3
טורעאן,"14,239.97",54,3
כאבול,"14,095.44",55,3
מגאר,"22,956.81",56,3
מג'דל שמס,"11,179.68",57,3
קלנסווה,"23,143.49",58,3
מצפה רמון,"5,210.79",59,3
שבלי,"6,052.73",60,3
מג'ד אל כרום,"15,275.53",61,3
אבו סנאן,"14,098.59",62,3
טייבה,"43,920.65",63,3
שפרעם,"42,005.19",64,3
כסרא-סמיע,"8,817.77",65,3
ירכא,"16,799.01",66,3
אבו גוש,"7,614.60",67,3
אעבלין,"13,199.35",68,3
נתיבות,"37,542.42",69,3
ערד,"26,653.57",70,3
ערערה,"25,245.10",71,3
אופקים,"30,662.25",72,3
כפר קאסם,"23,823.40",73,3
נצרת,"77,359.09",74,3
באקה אל-גרביה,"29,916.45",75,4
בית אל,"5,973.08",76,4
סח'נין,"31,641.84",77,4
דייר חנא,"10,338.58",78,4
קרית מלאכי,"23,725.69",79,4
דייר אל אסד,"12,514.47",80,4
טבריה,"44,315.17",81,4
לוד,"76,883.06",82,4
סאג'ור,"4,270.40",83,4
כפר ברא,"3,678.28",84,4
מעלה אפרים,"1,260.46",85,4
דבוריה,"10,510.46",86,4
ירוחם,"10,293.63",87,4
מזרעה,"3,929.19",88,4
חצור הגלילית,"9,261.77",89,4
זמר,"7,094.18",90,4
כאוכב אבו אל-היג'א,"3,589.43",91,4
קרית גת,"56,804.92",92,4
בית ג'ן,"12,000.91",93,4
עכו,"49,047.89",94,4
יאנוח-ג'ת,"6,679.45",95,5
טירה,"26,463.22",96,5
חורפיש,"6,410.30",97,5
רמלה,"74,481.77",98,5
מגדל העמק,"25,532.04",99,5
דימונה,"34,278.83",100,5
עספיא,"12,502.83",101,5
בית שאן,"18,388.04",102,5
דאלית אל כרמל,"17,652.71",103,5
עפולה,"53,958.75",104,5
כפר קרע,"18,963.94",105,5
ג'ולס,"6,441.68",106,5
גבעת זאב,"18,420.35",107,5
אשדוד,"225,084.15",108,5
נוף הגליל,"41,611.63",109,5
קצרין,"7,296.54",110,5
קרית ים,"39,715.54",111,5
בת ים,"128,599.85",112,5
שדרות,"27,597.58",113,5
ראמה,"7,727.54",114,5
קרית שמונה,"22,481.47",115,5
כפר יאסיף,"10,005.36",117,5
פקיעין,"5,892.56",118,5
אשקלון,"143,577.73",119,5
ג'ת,"12,099.56",121,5
עיילבון,"5,691.73",123,5
מעלות-תרשיחא,"21,772.08",124,5
אור עקיבא,"18,798.08",126,5
קדומים,"4,544.15",127,5
באר שבע,"207,672.26",128,5
חריש,"13,231.71",129,5
טירת כרמל,"23,010.64",134,5
בני עי''ש,"6,977.51",136,5
אור יהודה,"36,699.42",137,5
קרית עקרון,"11,000.89",138,6
נתניה,"220,614.42",139,6
מגדל,"1,834.32",140,6
כרמיאל,"46,173.03",141,6
קרית אתא,"58,592.31",142,6
שלומי,"6,441.32",143,6
קרני שומרון,"8,134.79",147,6
אילת,"52,285.36",149,6
חדרה,"96,559.23",150,6
אריאל,"20,535.97",151,6
נהריה,"58,002.57",152,6
פסוטה,"3,172.12",153,6
כפר כמא,"3,372.75",157,6
מעלה אדומים,"38,040.89",159,6
קרית ביאליק,"40,193.30",162,6
אליכין,"3,415.42",163,7
חיפה,"283,767.30",165,7
חולון,"196,025.54",166,7
קרית מוצקין,"43,303.21",167,7
ג'יש,"3,104.53",168,7
יבנה,"47,584.66",170,7
אפרת,"10,805.78",171,7
אזור,"12,811.87",174,7
בית דגן,"7,284.93",175,7
פתח תקווה,"246,529.03",178,7
ראש פינה,"3,147.81",180,7
נשר,"24,147.97",182,7
רחובות,"143,596.99",183,7
פרדס חנה-כרכור,"42,614.06",188,7
גדרה,"27,782.18",189,7
ראשון לציון,"253,520.15",190,7
גן יבנה,"23,868.11",191,7
יקנעם עילית,"23,796.31",193,7
ראש העין,"61,407.60",194,7
כפר יונה,"24,719.51",196,7
באר יעקב,"27,588.39",197,7
מעיליא,"3,131.29",198,7
בית אריה,"5,253.28",201,7
מטולה,"1,615.08",203,7
יסוד המעלה,"1,729.88",207,7
יהוד,"29,927.80",208,7
אלקנה,"3,837.55",209,8
רמת גן,"162,979.04",210,8
גבעת שמואל,"26,577.78",212,8
זכרון יעקב,"23,142.09",215,8
מבשרת ציון,"23,929.02",216,8
תל אביב יפו,"459,738.47",218,8
אלפי מנשה,"7,952.00",219,8
כפר סבא,"100,955.49",222,8
רעננה,"74,513.37",223,8
קרית טבעון,"17,862.65",224,8
הרצליה,"97,173.93",225,8
קדימה צורן,"22,413.17",226,8
מזכרת בתיה,"14,810.68",228,8
בנימינה-גבעת עדה,"15,625.13",229,8
אורנית,"8,955.40",230,8
רמת ישי,"7,784.86",231,8
נס ציונה,"49,791.61",232,8
כפר תבור,"4,310.60",234,8
מודיעין-מכבים-רעות*,"93,277.13",237,9
תל מונד,"13,144.26",238,9
גני תקווה,"20,308.27",239,9
פרדסיה,"5,930.36",240,9
כפר ורדים,"5,482.59",241,9
גבעתיים,"60,628.17",242,9
אבן יהודה,"13,727.53",243,9
מיתר,"9,418.20",244,9
הוד השרון,"62,971.74",245,9
קרית אונו,"40,280.60",246,9
רמת השרון,"47,093.96",247,9
שוהם,"21,045.15",248,9
הר אדר,"4,087.85",250,9
כוכב יאיר,"8,702.15",251,10
עומר,"7,530.15",252,10
להבים,"6,414.95",253,10
כפר שמריהו,"1,905.99",254,10
סביון,"4,036.09",255,10
